time,delta_lambda_simulink,delta_lambda_noisy,label,delta_lambda_filtered
0,6.27799070210013,6.23288216832831,mild_damage,6.3006087139560165
1,6.20667596186805,6.26430652144025,mild_damage,6.292771929395702
2,6.1326286937406,6.09201788909571,mild_damage,6.315349562818094
3,6.22423130542883,6.25583622667785,mild_damage,6.289586855782139
4,6.05089379772906,6.03622409600447,mild_damage,6.291480494159145
5,6.5656966729125,6.53083247782635,mild_damage,6.320709693333523
6,6.27453387222379,6.31111420605699,mild_damage,6.325427451383577
7,6.65836825865538,6.6816561262182,mild_damage,6.354893702235847
8,6.38797421812958,6.23007765291318,mild_damage,6.382816698535491
9,6.5456727879881,6.51854826361962,mild_damage,6.409211922734193
10,6.11824883287203,6.03195978542261,mild_damage,6.4205150675629925
11,6.30335886313131,6.31231051630619,mild_damage,6.440680834911032
12,6.72885732097469,6.67146008342607,mild_damage,6.505842304470179
13,6.38789103162989,6.38675830603428,mild_damage,6.52229655904922
14,6.66713497763583,6.76742121416763,mild_damage,6.557325290895737
15,6.51558688657079,6.65172711282296,mild_damage,6.555045480760921
16,6.59635121537483,6.6602348844208,mild_damage,6.627317851692454
17,6.38941464103068,6.26156506152768,mild_damage,6.6466353157838
18,6.44094684231507,6.55832273689845,mild_damage,6.710265411802448
19,6.92764040972174,7.01364613939169,mild_damage,6.748237299016755
20,6.75737124900693,6.77764629651196,mild_damage,6.786747555412925
21,6.64210740896601,6.83654518375474,mild_damage,6.839837800840493
22,6.6843351389883,6.64745897419595,mild_damage,6.8395360507948535
23,7.04511074416202,7.31416321688618,severe_damage,6.861552405966529
24,6.89683017078591,6.80831022498982,mild_damage,6.882405710074457
25,7.04599602413475,6.98641122570231,severe_damage,6.944291556273726
26,7.05777199950531,6.88188882452081,severe_damage,6.949158295048941
27,7.16472178983779,7.2491139293686,severe_damage,6.968266877778654
28,7.12852060111875,7.1831119874478,severe_damage,7.008894848640358
29,6.81499239230978,6.76289496348305,mild_damage,7.0256157898531475
30,7.19301813982657,6.9819724403981,severe_damage,7.04869600208912
31,7.37767648372488,6.97303444603972,severe_damage,7.049054567922955
32,7.3328959498107,7.18985275451672,severe_damage,7.121090410501074
33,6.74608616080028,6.63132381852665,mild_damage,7.176427627364565
34,7.20111236325122,7.30027488033739,severe_damage,7.235403359200481
35,7.22545170146637,7.38706585943752,severe_damage,7.237556186318881
36,7.38768370641295,7.0873593019466,severe_damage,7.255075514541301
37,7.25577031581562,6.99366215773552,severe_damage,7.3019550871729955
38,7.39138392992707,7.31954170439372,severe_damage,7.3428615803510535
39,7.74674726452151,7.88884786366159,severe_damage,7.391615637811071
40,7.62848974176732,7.81646947865468,severe_damage,7.415155239021846
41,7.54595384046908,7.76652480205956,severe_damage,7.507220581471745
42,7.34086491031405,7.28140633614459,severe_damage,7.499554520651826
43,7.54454396542434,7.4459019107841,severe_damage,7.517515364106503
44,7.62115198957621,7.46608855295847,severe_damage,7.592603859012059
45,7.5129303380797,7.59556983806897,severe_damage,7.6693888439619
46,7.58962546997077,7.70434530793999,severe_damage,7.7080495281831345
47,7.77246858275223,7.54294677267835,severe_damage,7.710917604373823
48,8.03327797246841,8.01230395527512,severe_damage,7.7015316304535455
49,7.26498012834079,7.18528396803861,severe_damage,7.689984014690968
50,7.5661547316418,7.65647851125768,severe_damage,7.754064537311442
51,8.0421033479502,8.21368672552994,severe_damage,7.80456219805696
52,7.96551008584545,8.14543693198314,severe_damage,7.835020291739872
53,7.82632836627319,7.89945196771222,severe_damage,7.85329274552123
54,7.99467667180608,7.93186900652194,severe_damage,7.907658776936431
55,7.74732822260063,7.67567986985051,severe_damage,7.947667975395594
56,7.76946086136219,7.59331056562089,severe_damage,7.945778747696157
57,8.06796200697605,8.24261417545172,severe_damage,8.010433308770446
58,8.33812050811869,8.20336682196686,severe_damage,8.04521270135978
59,8.21506115446078,7.92295995820215,severe_damage,8.050643544258216
60,7.99370845527149,7.86965664478933,severe_damage,8.066631174776964
61,8.30217743953062,8.51983577916801,severe_damage,8.103874086411874
62,8.10516002105379,8.14308474956579,severe_damage,8.147442429370198
